filename,categories,code,description,discount,feat,free,icon,link,price,thumbnailAlt,thumbnailImage,title,updateDate
styleguide-generator,"styles, design, styleguide, colors, text, paid",N/A,Automatically create visual style guides for your Framer projects.,N/A,False,True,./favicons/styleguidegenerator.png,https://www.framer.com/marketplace/plugins/styleguide-generator--8hxaxh19f843ykpz4m0qx9igw/?via=julesvcode,Paid,Screenshot of the Styleguide Generator plugin for Framer,./images/styleguidegenerator-thumb.webp,Styleguide Generator,2024-10-14
color-pallete-extractor,"images, illustrations, art, visuals, free",N/A,Extract stunning colour palettes directly from images in Framer.,N/A,False,True,./favicons/colorpalleteextractor.png,https://www.framer.com/marketplace/plugins/color-pallete-extractor/?via=julesvcode,Free,Screenshot of the Color Pallete Extractor plugin for Framer,./images/colorpalleteextractor-thumb.jpg,Color Pallete Extractor,2025-05-14
logofy,"logos, icons, productivity, design, brands, free",N/A,Access 3k+ SVG logos to drag & drop directly into your Framer canva.,N/A,False,True,./favicons/logofy.png,https://www.framer.com/marketplace/plugins/logofy--a4tq4t3hh7wtzz2ciw283ho8p/?via=julesvcode,Free,Screenshot of the Logofy plugins for Framer,./images/logofy-thumb.webp,Logofy,2024-10-07
descope,"membership, monetisation, authentication, free",N/A,A no-code authentication plugin for your Framer website.,N/A,False,True,./favicons/descope.png,https://www.framer.com/marketplace/plugins/descope/?via=julesvcode,Free,Screenshot of the Descope plugin for Framer,./images/descope-thumb.jpg,Descope,2025-03-07
typescale-generator,"styles, types, text, design, styleguide, free",N/A,Generate consistent typography hierarchies straight into your Framer projects.,N/A,False,True,./favicons/typescalegenerator.png,https://www.framer.com/marketplace/plugins/typescale-generator--6bt5rdrs10cuuka7az5e3do9k/?via=julesvcode,Free,Screenshot of the Typescale Generator plugin for Framer,./images/typescalegenerator-thumb.webp,Typescale Generator,2024-11-19
thenty,"membership, ecommerce, monetisation, authentication, paid",N/A,Enable e-commerce and membership functionality for your Framer websites.,N/A,False,False,./favicons/thenty.png,/thenty,Paid,Screenshot of the Thenty plugin for Framer,./images/thenty-thumb.webp,Thenty,2024-10-12
alt-text-go,"accessibility, seo, images, paid",N/A,AI-powered Alt Text generation for images right from within Framer.,N/A,False,False,./favicons/alttextgo.png,https://www.framer.com/marketplace/plugins/alt-text-go?via=julesvcode,Paid,Screenshot of the Alt Text Go plugin for Framer,./images/alttextgo-thumb.jpg,Alt Text Go,2025-02-04
tidy-up,"productivity, organisation, workflow, free",N/A,Organizes and aligns your design elements and frames with a single click.,N/A,False,True,./favicons/tidyup.png,https://www.framer.com/marketplace/plugins/tidy-up--ayqc3f3hshzw5dzbb4ivs3bp9/?via=julesvcode,Free,Screenshot of the Tidy Up plugin for Framer,./images/tidyup-thumb.webp,Tidy Up,2024-10-08
ss-icons,"icons, free",N/A,Add and manage icons in your Framer projects effortlessly.,N/A,False,True,./favicons/ssicons.png,https://www.framer.com/marketplace/plugins/ss-icons--8qgvim0w8mf05wdr4j2c8puut/?via=julesvcode,Free,Screenshot of the SS Icons plugin for Framer,./images/ssicons-thumb.webp,SS Icons,2024-11-05
radix-colors,"colors, styles, design, tailwind, utilities, free",N/A,Access the Radix Colors colour system within your Framer projects.,N/A,False,True,./favicons/radixcolors.png,https://www.framer.com/marketplace/plugins/radix-colors?via=julesvcode,Free,Screenshot of the Radix Colors plugin for Framer,./images/radixcolors-thumb.jpg,Radix Colors,2025-03-26
interactivity-studio,"images, visuals, free",N/A,Boost user engagement and conversion rates with interactive images.,N/A,False,True,./favicons/interactivitystudio.png,https://www.framer.com/marketplace/plugins/interactivity-studio/?via=julesvcode,Free,Screenshot of the Interactivity Studio plugin for Framer,./images/interactivitystudio-thumb.webp,Interactivity Studio,2025-01-03
framersync,"cms, database, notion, airtable, automation, paid",N/A,"Connect your Notion, Airtable, or Google Sheets directly with the Framer CMS.",N/A,False,False,./favicons/framersync.png,https://framer.link/X2TyugR,Paid,Screenshot of the FramerSync plugin for Framer,./images/framersync-thumb.webp,FramerSync,2024-10-10
blob,"blob, animations, visuals, paid",N/A,Bring captivating 3D blobs to your Framer designs.,N/A,False,False,./favicons/blob.png,https://framer.link/mk263ld,Paid,Screenshot of the Blob plugin for Framer,./images/blob-thumb.webp,Blob,2024-11-15
shadergradient,"visuals, design, free",N/A,"Create mesmerising, dynamic gradients for your Framer website designs.",N/A,False,True,./favicons/shadergradient.png,https://www.framer.com/marketplace/plugins/shadergradient--etnr5sluqpri7ic50jpoh4ihx/?via=julesvcode,Free,Screenshot of the ShaderGradient plugin for Framer,./images/shadergradient-thumb.webp,ShaderGradient,2024-11-28
framerauth,"membership, lemonsqueezy, monetisation, authentication, paid",N/A,Add membership functionalities to your Framer website without coding.,N/A,False,False,./favicons/framerauth.png,https://www.framer.com/marketplace/plugins/framerauth--c3z5rrywnrdorjuhsqmh6vas1/?via=julesvcode,Paid,Screenshot of the FramerAuth plugin for Framer,./images/framerauth-thumb.webp,FramerAuth,2024-10-11
jetpost,"ai, text, content, free",N/A,AI text editor to write content 10x faster within Framer.,N/A,False,True,./favicons/jetpost.png,https://www.framer.com/marketplace/plugins/jetpost--6itu6zncpiphdylikp4fslsb3/?via=julesvcode,Free,Screenshot of the Jetpost plugin for Framer,./images/jetpost-thumb.webp,Jetpost,2024-11-22
migrate,"ai, migration, content, templates, paid",N/A,AI assistant to quickly customise a Framer template with your content,N/A,False,False,./favicons/migrate.png,https://unframer.co/pluginlink/migrate?aff=0BlLG,Paid,Screenshot of the Migrate plugin for Framer,./images/migrate-thumb.webp,Migrate,2024-10-07
phosphor,"icons, free",N/A,"The ultimate plugin to search, drag, and drop icons from the Phosphor icon kit into your Framer project.",N/A,False,True,./favicons/phosphor.png,https://www.framer.com/marketplace/plugins/phosphor--9emi5idtsiarc9bkykvbptlv3/?via=julesvcode,Free,Screenshot of the Phosphor plugin for Framer,./images/phosphor-thumb.webp,Phosphor,2024-10-03
framerforms,"forms, data, paid",N/A,"Create advanced, customizable forms directly in Framer.",N/A,False,False,./favicons/framerforms.png,/framerforms,Paid,Screenshot of the FramerForms plugin for Framer,./images/framerforms-thumb.webp,FramerForms,2024-10-12
file-viewer,"files, thumbnails, productivity, utilities, paid",N/A,"Manage your files straight in Framer - upload files, auto generate thumbnails and let users easily download them.",N/A,False,False,./favicons/fileviewer.png,https://www.framer.com/marketplace/plugins/file-viewer--e2qyc57qwzq9271ov0xyf7slj/?via=julesvcode,Paid,Screenshot of the File Viewer plugin for Framer,./images/fileviewer-thumb.webp,File Viewer,2024-10-10
photobase,"images, ai, paid",N/A,An extensive library of AI-generated stock photos.,N/A,False,True,./favicons/photobase.png,https://www.framer.com/marketplace/plugins/photobase--9t035fnvgmh89q2jtluqyavqo/?via=julesvcode,Paid,Screenshot of the PhotoBase plugin for Framer,./images/photobase-thumb.webp,PhotoBase,2024-11-08
lottielab,"animations, lottie, free",N/A,Integrate Lottielab animations into your Framer projects,N/A,False,True,./favicons/lottielab.png,https://www.framer.com/marketplace/plugins/lottielab--6nrbfdr9tq0buentww4xxsq6v/?via=julesvcode,Free,Screenshot of the Lottielab plugin for Framer,./images/lottielab-thumb.webp,Lottielab,2024-11-04
iconify,"icons, library, free",N/A,"Access over 150,000 icons from the vast Iconify library straight into Framer.",N/A,False,True,./favicons/iconify.png,https://www.framer.com/marketplace/plugins/iconify--157n4h9zgj6cw3wus9gep293p/?via=julesvcode,Free,Screenshot of the Iconify plugin for Framer,./images/iconify-thumb.webp,Iconify,2024-12-04
bootstrap-icons,"icons, bootstrap, library, free",N/A,Access the complete Bootstrap icon library directly into your Framer canva.,N/A,False,True,./favicons/bootstrapicons.png,https://www.framer.com/marketplace/plugins/bootstrap-icons--dgtyu3gn8shifckv9whr77e61/?via=julesvcode,Free,Screenshot of the Bootstrap Icons plugin for Framer,./images/bootstrapicons-thumb.webp,Bootstrap Icons,2024-11-16
ai-rewrite,"ai, text, utilities, paid",N/A,Effortless text updates with a prompt.,N/A,False,False,./favicons/airewrite.png,https://www.framer.com/marketplace/plugins/ai-rewrite/?via=julesvcode,Paid,Screenshot of the AI Rewrite plugin for Framer,./images/airewrite-thumb.jpg,AI Rewrite,2025-03-17
notion,,N/A,Sync your Notion databases to your Framer CMS in one click.,N/A,False,True,./favicons/notion.png,https://framer.link/6mEitBC,Free,Screenshot of the Notion plugin for Framer,./images/notion-thumb.webp,Notion,2024-10-07
eleveight-supply,"design, ui, components, paid",N/A,A curated library of premium code components and overrides for Framer.,N/A,False,False,./favicons/eleveightsupply.png,https://www.framer.com/marketplace/plugins/eleveight-supply--dyrz0jnnwwyugndbj9bqkcdx0/?via=julesvcode,Paid,Screenshot of the Eleveight Supply plugin for Framer,./images/eleveightsupply-thumb.webp,Eleveight Supply,2024-11-27
kompa,"design, ui, components, freemium, free",N/A,"The ultimate design plugin for Framer with hundreds of prebuilt, responsive UI elements.",N/A,False,True,./favicons/kompa.png,https://framer.link/BgD8rMV,Free & paid plans (from $19/month),Screenshot of the Kompa plugin for Framer,./images/kompa-thumb.webp,Kompa,2024-11-16
vectorizzer,"images, vectors, visuals, free",N/A,Convert images into crisp SVGs within Framer.,N/A,False,False,./favicons/vectorizzer.png,https://www.framer.com/marketplace/plugins/png-to-svg-vectorizzer/?via=julesvcode,Paid,Screenshot of the Vectorizzer plugin for Framer,./images/vectorizzer-thumb.webp,Vectorizzer,2025-06-03
frameblox,"design, ui, library, components, templates, paid",N/A,UI Kit to build and launch Framer websites faster than ever before.,N/A,False,True,./favicons/frameblox.png,https://www.frameblox.com/plugin?aff=0BlLG,Paid,Screenshot of the Frameblox plugin for Framer,./images/frameblox-thumb.webp,Frameblox,2024-11-07
rive,"animations, free",N/A,A plugin that brings interactive graphics and animations to your designs.,N/A,False,True,./favicons/rive.png,https://www.framer.com/marketplace/plugins/rive--6839p2e822jesvfuae7qo5w21/?via=julesvcode,Free,Screenshot of the Rive plugin for Framer,./images/rive-thumb.webp,Rive,2024-10-03
populate,"data, placeholder, mockup, utilities, free",N/A,Fill your Framer designs with realistic data.,N/A,False,True,./favicons/populate.png,https://www.framer.com/marketplace/plugins/populate--y2iw2wuu8lby8d6hjoc1rq4v2/?via=julesvcode,Free,Screenshot of the Populate plugin for Framer,./images/populate-thumb.webp,Populate,2024-11-08
google-sheets,"cms, database, sheets, free",N/A,Sync your Google Sheet content directly with the Framer CMS.,N/A,False,True,./favicons/sheets.png,https://framer.link/pV3Goag,Free,Screenshot of the Google Sheets plugin for Framer,./images/sheets-thumb.webp,Google Sheets,2024-11-08
speedlens,"seo, optimisation, utilities, free",N/A,Check Google PageSpeed Insights directly into your Framer canvas.,N/A,False,True,./favicons/speedlens.png,https://www.framer.com/marketplace/plugins/speedlens?via=julesvcode,Free,Screenshot of the SpeedLens plugin for Framer,./images/speedlens-thumb.jpg,SpeedLens,2025-04-08
framer-commerce,"ecommerce, shop, shopify, paid",N/A,Build your Shopify stores directly in Framer.,N/A,False,False,./favicons/framercommerce.png,https://www.framer.com/marketplace/plugins/framer-commerce?via=julesvcode,Paid,Screenshot of the Framer Commerce plugin for Framer,./images/framercommerce-thumb.webp,Framer Commerce,2025-01-14
dither,"images, visuals, editing, free",N/A,Manipulate images to add a retro dither effect tot them.,N/A,False,True,./favicons/dither.png,https://www.framer.com/marketplace/plugins/dither--qbtu7lnuxao7w5188cblpk32c/?via=julesvcode,Free,Screenshot of the Dither plugins for Framer,./images/dither-thumb.webp,Dither,2024-10-04
qr-code-generator,"design, qr, free",N/A,Turn your text and URLs into customisable QR codes within Framer.,N/A,False,True,./favicons/qrcode.png,https://www.framer.com/marketplace/plugins/qr-code-generator--8zzd03iwhwha9m8pncxpcarc7/?via=julesvcode,Free,Screenshot of the QR Code Generator plugin for Framer,./images/qrcode-thumb.webp,QR Code Generator,2024-11-05
frameship,"ecommerce, shop, shopify, paid",FMPT10,Turn your Framer website into a Shopify store.,10% OFF,True,False,./favicons/frameship.png,https://www.framer.com/marketplace/plugins/frameship--5sty6o8n22smpbcb4oypsggk6/?via=julesvcode,Paid,Screenshot of the Frameship plugin for Framer,./images/frameship-thumb.webp,Frameship,2024-11-22
grit-ui,"design, ui, components, freemium, paid",N/A,"The Ultimate UI Kit plugin to build polished, responsive websites with Framer.",N/A,False,False,./favicons/gritui.png,https://www.framer.com/marketplace/plugins/grit-ui?via=julesvcode,Paid,Screenshot of the Grit UI plugin for Framer,./images/gritui-thumb.jpg,Grit UI,2025-02-19
core-icons,"icons, library, free",N/A,A sleek and versatile icon set that brings a touch of timeless elegance to your Framer designs.,N/A,False,True,./favicons/coreicons.png,https://www.framer.com/marketplace/plugins/core-icons-by-streamline--28wg8l0woy2ey6o78zntfudjj/?via=julesvcode,Free,Screenshot of the Core Icons plugin for Framer,./images/coreicons-thumb.webp,Core Icons,2024-12-04
asset-manager,"images, assets, free",N/A,Organise and control all your design assets from the Framer canva.,N/A,False,True,./favicons/assetmanager.png,https://www.framer.com/marketplace/plugins/remove-background--7myvaf3wpgyde91bvc0e51ki4/?via=julesvcode,Free,Screenshot of the Asset Manager plugin for Framer,./images/assetmanager-thumb.webp,Asset Manager,2024-11-06
stop-overscrolling,"utilities, free",N/A,Eliminate unwanted page bouncing in your Framer websites.,N/A,False,True,./favicons/stopoverscrolling.png,https://www.framer.com/marketplace/plugins/stop-overscrolling--98threg2hh2k7qxd5t2w8k3tn/?via=julesvcode,Free,Screenshot of the Stop Overscrolling plugin for Framer,./images/stopoverscrolling-thumb.webp,Stop Overscrolling,2024-11-08
outrank,"seo, blog, content, ai, free",N/A,Automatically generate SEO content for your Framer site.,N/A,False,False,./favicons/outrank.png,/outrank,Paid,Screenshot of the Outrank plugin for Framer,./images/outrank-thumb.webp,Outrank,2025-06-03
styles-io,"styles, text, colors, design, utilities, free",N/A,Move text and colour styles between different Framer projects with ease.,N/A,False,True,./favicons/stylesio.png,https://www.framer.com/marketplace/plugins/styles-io--1c2t5w7cswyyzd46w1gir70l6/?via=julesvcode,Free,Screenshot of the Styles IO plugin for Framer,./images/stylesio-thumb.webp,Styles IO,2024-11-22
sound-waves,"visuals, sound, paid",N/A,Visualise audio in dynamic and captivating ways on your Framer designs.,N/A,False,False,./favicons/soundwaves.png,https://www.framer.com/marketplace/plugins/sound-waves/?via=julesvcode,Paid,Screenshot of the Sound Waves plugin for Framer,./images/soundwaves-thumb.jpg,Sound Waves,2025-03-17
pattern-studio,"svg, patterns, visuals, free",N/A,Incorporate stunning SVG patterns into your Framer designs.,N/A,False,True,./favicons/patternstudio.png,https://www.framer.com/marketplace/plugins/pattern-studio--bnihurxofcnd4q4bxk27vvnn8/?via=julesvcode,Free,Screenshot of the Pattern Studio plugin for Framer,./images/patternstudio-thumb.webp,Pattern Studio,2024-11-07
pexels,"images, photos, free",N/A,Access millions of royalty-free images within Framer.,N/A,False,True,./favicons/pexels.png,https://www.framer.com/marketplace/plugins/pexels-3wi4/?via=julesvcode,Free,Screenshot of the Pexels plugin for Framer,./images/pexels-thumb.jpg,Pexels,2025-03-07
formflow,"forms, utilities, paid",N/A,Build intuitive and visually appealing forms within Framer.,N/A,False,False,./favicons/formflow.png,https://www.framer.com/marketplace/plugins/formflow/?via=julesvcode,Paid,Screenshot of the Formflow plugin for Framer,./images/formflow-thumb.webp,Formflow,2025-05-27
image-flip,"images, free",N/A,"Flip images instantly within Framer, eliminating the need to switch between apps.",N/A,False,True,./favicons/imageflip.png,https://www.framer.com/marketplace/plugins/image-flip?via=julesvcode,Free,Screenshot of the Image Flip plugin for Framer,./images/imageflip-thumb.jpg,Image Flip,2025-02-19
smart-quotes,"text, quotes, utilities, free",N/A,Transform straight quotes into elegant smart quotes on selected text layers with a single click.,N/A,False,True,./favicons/smartquotes.png,https://framer.link/w3AK86D,Free,Screenshot of the Smart Quotes plugin for Framer,./images/smartquotes-thumb.webp,Smart Quotes,2024-11-27
effects,"visuals, effects, free",N/A,Apply various customisable image effects directly within the Framer environment.,N/A,False,True,./favicons/effects.png,https://www.framer.com/marketplace/plugins/effects?via=julesvcode,Free,Screenshot of the Effects plugin for Framer,./images/effects-thumb.webp,Effects,2024-12-05
frameshop,"ecommerce, shop, stripe, free",N/A,Turn your Framer website into a fully-fledged e-commerce store.,N/A,False,True,./favicons/frameshop.png,https://www.framer.com/marketplace/plugins/frameshop?via=julesvcode,Free,Screenshot of the Frameshop plugin for Framer,./images/frameshop-thumb.webp,Frameshop,2024-12-10
framericons,"icons, paid",N/A,Access to an incredible 22k+ icons from the Framer canva.,N/A,False,False,./favicons/framericons.png,https://framericons.com/?aff=0BlLG,Paid,Screenshot of the FramerIcons plugin for Framer,./images/framericons-thumb.webp,FramerIcons,2025-01-03
unsplash,"images, photos, free",N/A,Get access to the biggest collection of high-quality stock photos from Unsplash directly within Framer.,N/A,False,True,./favicons/unsplash.png,https://www.framer.com/marketplace/plugins/unsplash--cmqc8pkxvwstuzme9dilm4zm2/?via=julesvcode,Free,Screenshot of the Unsplash plugins for Framer,./images/unsplash-thumb.webp,Unsplash,2024-10-05
lorem-ipsum,"text, design, utilities, free",N/A,Adding Lorem Ipsum text to your designs has bever been easier.,N/A,False,True,./favicons/loremipsum.png,https://www.framer.com/marketplace/plugins/lorem-ipsum--4od3tdg2pbkg8yjk1rdspv3dh/?via=julesvcode,Free,Screenshot of the Lorem Ipsum plugin for Framer,./images/loremipsum-thumb.webp,Lorem Ipsum,2024-10-31
sol,"animations, visuals, gradients, design, interactions, paid",N/A,"Design animated gradients, interactive grids and procedural shapes, all straight in Framer.",N/A,False,False,./favicons/sol.png,https://www.framer.com/marketplace/plugins/sol--4rzx5kzvv09drv2icaxp9d732/?via=julesvcode,Paid,Screenshot of the Sol plugin for Framer,./images/sol-thumb.webp,Sol,2024-10-10
polar,"ecommerce, payment, products, free",N/A,Sell digital products through your Framer site with ease.,N/A,False,True,./favicons/polar.png,https://www.framer.com/marketplace/plugins/polar?via=julesvcode,Free,Screenshot of the Polar plugin for Framer,./images/polar-thumb.webp,Polar,2025-01-14
shopiframe,"ecommerce, shopify, shop, paid",N/A,Integrate your Shopify store with your Framer website for a smooth e-commerce experience.,N/A,False,False,./favicons/shopiframe.png,https://framer.link/6erCaku,Paid,Screenshot of the Shopiframe plugin for Framer,./images/shopiframe-thumb.webp,Shopiframe,2024-11-27
spell-check,,N/A,Catch spelling and grammar errors in your design projects.,N/A,False,True,./favicons/spellcheck.png,https://www.framer.com/marketplace/plugins/spell-checker--j8jzhu502kka9l3pa8712otjw/?via=julesvcode,Free & paid plans,Screenshot of the Spell Check plugin for Framer,./images/spellcheck-thumb.webp,Spell Check,2024-10-08
shadesandtints,"colors, styles, design, styleguide, free",N/A,Generate color variations from any background fill straight into Framer.,N/A,False,True,./favicons/shadesandtints.png,https://www.framer.com/marketplace/plugins/shades-and-tints--7e1weo6dc4kbc7lm08jff718e/?via=julesvcode,Free,Screenshot of the Shades and Tints plugin for Framer,./images/shadesandtints-thumb.webp,Shades and Tints,2024-10-17
device-mockups,"mockups, design, library, utilities, paid",N/A,A library of high-quality device mockups directly into your Framer workspace.,N/A,False,False,./favicons/devicemockups.png,https://www.framer.com/marketplace/plugins/device-mockups--3azij223ltec5xqc0pvxcgbmi/?via=julesvcode,Paid,Screenshot of the Device Mockups plugin for Framer,./images/devicemockups-thumb.webp,Device Mockups,2024-11-13
color-palettes,"colors, styles, design, tailwind, utilities, free",N/A,Integrate Tailwind's color palettes directly into your Framer projects.,N/A,False,True,./favicons/colorpalettes.png,https://framer.link/tmBKggc,Free,Screenshot of the Color Palettes plugin for Framer,./images/colorpalettes-thumb.webp,Color Palettes,2024-11-08
smartarget-Whatsapp-contact-us,"chat, whatsapp, paid",N/A,Add a WhatsApp chat button to your Framer website.,N/A,False,False,./favicons/smartarget.png,https://www.framer.com/marketplace/plugins/smartarget-whatsapp-contact-us--b36e51n70dz0503297jn0qh3a/?via=julesvcode,Paid,Screenshot of the Smartarget Whatsapp Contact Us plugin for Framer,./images/smartarget-thumb.webp,Smartarget Whatsapp,2024-11-22
depth-grid,"visuals, effects, free",N/A,Add stunning perspective grids and tunnels to your Framer designs.,N/A,False,True,./favicons/depthgrid.png,https://framer.link/67xTG3D,Free,Screenshot of the Depth Grid plugin for Framer,./images/depthgrid-thumb.webp,Depth Grid,2024-12-05
translate,"translation, text, utilities, free",N/A,Translate text layers into multiple languages directly in Framer.,N/A,False,True,./favicons/translate.png,https://www.framer.com/marketplace/plugins/translate--7x7usj6iwif9feeszbi8ljj9z/?via=julesvcode,Free,Screenshot of the Translate plugin for Framer,./images/translate-thumb.webp,Translate,2024-11-08
contrast-checker,"accessibility, contrast, colors, free",N/A,Prioritise accessibility and visual optimisation within Framer.,N/A,False,True,./favicons/contrastchecker.png,https://www.framer.com/marketplace/plugins/contrast-checker?via=julesvcode,Free,Screenshot of the Contrast Checker plugin for Framer,./images/contrastchecker-thumb.jpg,Contrast Checker,2025-04-08
seobot,"seo, utilities, paid",N/A,"The fully autonomous \""SEO Robot\"" for busy designers.",N/A,False,False,./favicons/seobot.png,https://seobotai.com/?aff=fmpl,Paid,Screenshot of the SEObot plugin for Framer,./images/seobot-thumb.jpg,SEObot,2025-02-04
framercursor,"cursor, visuals, free",N/A,Enhance your design projects with an extensive library of custom cursors.,N/A,False,True,./favicons/framercursor.png,https://www.framer.com/marketplace/plugins/framercursor/?via=julesvcode,Free,Screenshot of the FramerCursor plugin for Framer,./images/framercursor-thumb.webp,FramerCursor,2025-05-27
todo-list,"tasks, productivity, organisation, utilities, free",N/A,Keep your tasks organised right inside Framer.,N/A,False,True,./favicons/todolist.png,https://www.framer.com/marketplace/plugins/to-do-list--9zm870vlswqnjurlonqxo1fkd/?via=julesvcode,Free,Screenshot of the To Do List plugin for Framer,./images/todolist-thumb.webp,To Do List,2024-11-13
lummi,"images, visuals, ai, illustrations, 3d, images, library, free",N/A,"Access a vast library of gorgeous photos, illustrations and 3D renders in your Framer projects.",N/A,False,False,./favicons/lummi.png,https://www.framer.com/marketplace/plugins/lummi--6p0ki7q9i3av4klw8fakjn7wj/?via=julesvcode,Free,Screenshot of the Lummi plugin for Framer,./images/lummi-thumb.webp,Lummi,2024-10-15
pseudo-cart,"bookings, checkout, cart, free",N/A,"Build fast, free, and fully private checkout flows within Framer.",N/A,False,True,./favicons/pseudocart.png,https://www.framer.com/marketplace/plugins/pseudo-cart?via=julesvcode,Free,Screenshot of the Pseudo Cart plugin for Framer,./images/pseudocart-thumb.jpg,Pseudo Cart,2025-04-08
magicpattern,"visuals, graphics, art, paid",N/A,Create visually stunning graphics within Framer.,N/A,False,False,./favicons/magicpattern.png,https://framer.link/xghj5rh,Paid,Screenshot of the MagicPattern plugin for Framer,./images/magicpattern-thumb.jpg,MagicPattern,2025-03-26
cms-export,"cms, database, files, free",N/A,Manage your CMS by exporting any CMS collection as a CSV and reimport them into Framer CMS for seamless project transfers.,N/A,False,True,./favicons/cms-export.png,https://www.framer.com/marketplace/plugins/cms-export--6fd8zduyk5je9zsw5morqqldd/?via=julesvcode,Free,Screenshot of the CMS Export plugin for Framer,./images/cms-export-thumb.webp,CMS Export,2024-10-02
